api_internal_id,award_id,recipient,awarding_agency,amount_usd,description,award_base_date,last_modified_date
CONT_AWD_0025_9700_H9222216D0028_9700,0025,THE BOEING COMPANY,Department of Defense,9944383.46,"UAV - AIR VEHICLES, PROGRAM MANAGEMENT SUPPORT, SPARES",2017-12-08,2026-06-02 17:14:29
CONT_AWD_1202SA26K9800_12C2_12024B20A0002_12C2,1202SA26K9800,DRONE AMPLIFIED INC,Department of Agriculture,49000.0,DRONE AMPLIFIED IGNIS 2.0,2026-04-10,2026-04-21 16:24:38
CONT_AWD_1202SA26K9803_12C2_1202SA26T9800_12C2,1202SA26K9803,DRONE AMPLIFIED INC,Department of Agriculture,1539442.76,ONE IGNIS III MINI WITH LYNX CAMERA,2026-08-17,2026-08-19 11:12:59
CONT_AWD_1232SA25F0132_12H2_47QSWA23D004G_4732,1232SA25F0132,FREEFLY SYSTEMS INC,Department of Agriculture,56874.94,"MULTI-ROTOR UNMANNED AERIAL SYSTEM (UAS) WITH RED, GREEN AND BLUE (RGB) AND THERMAL SENSOR PACKAGES",2025-07-10,2026-05-15 10:18:49
CONT_AWD_1232SA26F0464_12H2_GS07F207CA_4732,1232SA26F0464,"CARON EAST, INC.",Department of Agriculture,31255.0,"IF800 QUADCOPTER BUNDLE WITH BATTERY KIT, BATTERY SET, SPARE PARTS KIT, AND SPARE PROPELLER SET",2026-08-17,2026-08-17 17:19:27
CONT_AWD_1232SA26F0466_12H2_GS07F207CA_4732,1232SA26F0466,"CARON EAST, INC.",Department of Agriculture,22795.25,IF800 DRONE WITH UNIVERSAL MICASENSE INTEGRATION KIT,2026-08-19,2026-08-19 11:17:11
CONT_AWD_1232SA26F0613_12H2_47QSMS25D00B2_4732,1232SA26F0613,BARFIELD INC,Department of Agriculture,26544.0,PARROT ANAFI UKR XLR DRONE,2026-09-11,2026-09-11 12:36:13
CONT_AWD_1232SA26P0178_12H2_-NONE-_-NONE-,1232SA26P0178,AERIAL TECHNOLOGY INTERNATIONAL LLC,Department of Agriculture,35360.0,AN FCC-COMPLIANT UNMANNED AERIAL SYSTEM (UAS) EQUIPPED WITH MULTISPECTRAL AND THERMAL CAMERAS IS NEEDED FOR PROXIMAL REMOTE SENSING OF RESEARCH FIELDS,2026-04-06,2026-04-06 14:40:31
CONT_AWD_1232SA26P0287_12H2_-NONE-_-NONE-,1232SA26P0287,HYLIO INC,Department of Agriculture,81620.25,"ACQUISITION OF PRECISION IMAGERY, SAMPLING, AND DISPERSION DRONE",2026-06-09,2026-06-09 14:26:46
CONT_AWD_1232SA26P0304_12H2_-NONE-_-NONE-,1232SA26P0304,"FRONTIER PRECISION, INC",Department of Agriculture,56675.0,"DRONE, ASTRO MAX MAPPING ESSENTIALS & MULTISPECTRAL SENSOR SENTERA 6X",2026-05-21,2026-05-21 15:42:19
CONT_AWD_1232SA26P0332_12H2_-NONE-_-NONE-,1232SA26P0332,AANTILIA LLC,Department of Agriculture,22113.0,PURCHASE OF DRONE FOR DR. NICHOLAS PUGH'S RESEARCH IN ABIOTIC STRESS RESEARCH TRIALS,2026-06-23,2026-06-23 10:38:17
CONT_AWD_1232SA26P0483_12H2_-NONE-_-NONE-,1232SA26P0483,ALLTERRA CENTRAL INC,Department of Agriculture,41973.4,UNMANNED AERIAL VEHICLE,2026-08-06,2026-08-06 08:06:19
CONT_AWD_1232SA26P0512_12H2_-NONE-_-NONE-,1232SA26P0512,"CARON EAST, INC.",Department of Agriculture,69324.0,"FIXED-WING VERTICAL TAKE-OFF AND LANDING MAPPING DRONE WITH RGB CAMERA, MULTISPECTRAL CAMERA, AND ONBOARD PPK FOR MISSION CRITICAL RESEARCH SMALL FARMS TO MANAGE PESTS AND DISEASES.",2026-08-14,2026-08-14 14:00:23
CONT_AWD_1232SA26P0628_12H2_-NONE-_-NONE-,1232SA26P0628,"FRONTIER PRECISION, INC",Department of Agriculture,63526.0,HYLIO AGRICULTURE DRONE: AMERICAN MADE UNMANNED AERIAL VEHICLE/SPRAYER - THIS PROCUREMENT PACKAGE IS TO REQUEST AN AMERICAN MADE AERIAL VEHICLE TO SPRAY CROPS AND FURTHER PRECISION AGRICULTURE RESEARCH.,2026-09-01,2026-09-01 17:44:11
CONT_AWD_12639526F0393_12K3_12639525D0008_12K3,12639526F0393,"SKYDIO, INC",Department of Agriculture,224457.5,DELIVERY ORDER FOR UAS AND ACCESSORIES,2026-04-12,2026-04-13 13:24:58
CONT_AWD_12639526F0626_12K3_12639525D0008_12K3,12639526F0626,"SKYDIO, INC",Department of Agriculture,27429.7,THE NATIONAL WILDLIFE RESEARCH CENTER'S NATIONAL WILDLIFE DISEASE PROGRAM IS REQUESTING TO PLACE AN ORDER AGAINST CONTRACT# 12639525D0008 FOR SKYDIO DRONES. THESE WILL BE USED FOR NEW WORLD SCREWWORM DETECTION AND MANAGEMENT. BUYER: AMANDA BARB,2026-06-10,2026-06-10 17:36:17
CONT_AWD_12639526F0665_12K3_12639525D0008_12K3,12639526F0665,"SKYDIO, INC",Department of Agriculture,52429.5,PROCUREMENT OF SKYDIO X10 DRONES AND ASSOCIATED EQUIPMENT.,2026-06-26,2026-06-26 11:38:28
CONT_AWD_12639526F0741_12K3_12639525D0008_12K3,12639526F0741,"SKYDIO, INC",Department of Agriculture,28130.8,"ORDER FOR UAS, UAS PARTS, AND UAS ACCESSORIES; PURCHASE OF TWO DRONES AND BATTERIES",2026-08-06,2026-08-06 12:03:48
CONT_AWD_12639526F0776_12K3_12639525D0008_12K3,12639526F0776,"SKYDIO, INC",Department of Agriculture,14533.46,THE PURPOSE OF THIS DELIVERY ORDER IS TO ENTER INTO A FIRM FIXED PRICE ORDER OFF USDA CONTACT 12639525D0008 ORDERING PERIOD TWO FOR UAS AND ASSOCIATED ACCESSORIES.,2026-08-13,2026-08-13 16:14:33
CONT_AWD_12639526F0784_12K3_12639525D0008_12K3,12639526F0784,"SKYDIO, INC",Department of Agriculture,54106.5,THE PURPOSE OF THIS DELIVERY ORDER IS TO ENTER INTO A FIRM FIXED PRICE ORDER OFF USDA CONTACT 12639525D0008 ORDERING PERIOD TWO FOR UAS AND ASSOCIATED ACCESSORIES FOR SITES IN AZ AND UT.,2026-08-25,2026-08-25 11:59:21
CONT_AWD_1305M226P0052_1330_-NONE-_-NONE-,1305M226P0052,"IMPULSERADAR USA, INC.",Department of Commerce,55090.0,TWO (2) BRAND NAME OR EQUAL FREEFLY ASTRO MAX NDAA/BLUE QUADCOPTER UNCREWED AERIAL SYSTEM (UAS; AKA DRONES),2026-04-01,2026-04-01 11:10:47
CONT_AWD_1305M326F0196_1330_GS07F0426X_4732,1305M326F0196,DUNCAN-PARNELL INC,Department of Commerce,196940.14,PURCHASE OF TWO (2) WINGTRARAY UAS PLATFORM,2026-08-25,2026-08-25 08:54:42
CONT_AWD_1331L526F13351304_1301_NNG15SD11B_8000,1331L526F13351304,"GOVSMART, INC.",Department of Commerce,243150.62,ARIAL MONITORING SYSTEM,2026-09-18,2026-09-18 13:22:45
CONT_AWD_1333MF26P0011_1330_-NONE-_-NONE-,1333MF26P0011,"LYME COMPUTER SYSTEMS, INC.",Department of Commerce,43389.78,OLE NORTHEAST DIVISION AND SOUTHEAST DIVISION NEED THE SKYDIO X10 PATROL-LED DFR KIT UAS IN ORDER TO CONDUCT OPERATIONS AND INVESTIGATIONS TO SUPPORT THE MISSION OF NOAA FISHERIES AND PRIORITIES OF THE LAW ENFORCEMENT PROGRAM.,2026-03-06,2026-03-23 07:47:34
CONT_AWD_1333MJ26P0047_1330_-NONE-_-NONE-,1333MJ26P0047,FREEFLY SYSTEMS INC,Department of Commerce,64100.0,"TO PROCURE A US-MADE DRONE PLATFORM, THE FREEFLY ASTRO. IN ADDITION TO THE ASTRO WE WILL BE PROCURING THE ASSOCIATED SL8-AIR SMART BATTERIES AND CHARGER. THIS PLATFORM IS INTENDED TO CARRY VARIOUS SPECTRAL SENSORS FOR MAPPING AND MONITORING HARMFUL A",2026-08-24,2026-09-16 08:07:21
CONT_AWD_1333ND26PNB670141_1341_-NONE-_-NONE-,1333ND26PNB670141,"BRINC DRONES, INC",Department of Commerce,29997.0,OU67-FY26-020-NEW SMALL UNCREWED AIRCRAFT SYSTEM,2026-05-19,2026-06-12 13:20:49
CONT_AWD_1333ND26PNB670252_1341_-NONE-_-NONE-,1333ND26PNB670252,AANTILIA LLC,Department of Commerce,26590.95,OU67-FY26-203-NEW OUTDOOR SMALL UNCREWED AIRCRAFT SYSTEM (SUAS),2026-07-20,2026-07-20 14:13:11
CONT_AWD_140D0426F0033_1406_140D0423A0049_1406,140D0426F0033,"VECTORS, INC.",Department of the Interior,99694.5,WINGTRA BLANKET PURCHASE AGREEMENT CALL FOR VECTORS INC.,2025-11-20,2025-11-20 09:22:36
CONT_AWD_140D0426F0037_1406_140D0424A0008_1406,140D0426F0037,"SKYDIO, INC",Department of the Interior,276410.53,SKYDIO X2E AND NEXT GENERATION UNMANNED AIRCRAFT SYSTEM BLANKET PURCHASE AGREEMENT CALL,2025-11-20,2025-12-22 13:16:51
CONT_AWD_140D0426F0047_1406_140D0423A0045_1406,140D0426F0047,FREEFLY SYSTEMS INC,Department of the Interior,214685.0,FREEFLY ALTA X BLANKET PURCHASE AGREEMENT CALL,2025-12-03,2025-12-15 11:03:29
CONT_AWD_140D0426F0050_1406_140D0423A0045_1406,140D0426F0050,FREEFLY SYSTEMS INC,Department of the Interior,290115.0,FREEFLY ALTA X BLANKET PURCHASE AGREEMENT CALL,2025-12-03,2026-02-02 10:43:30
CONT_AWD_140D0426F0053_1406_140D0425A0008_1406,140D0426F0053,SKYFRONT CORP,Department of the Interior,159846.0,SKYFRONT CORP. UNMANNED AIRCRAFT SYSTEM PERIMETER 8+ AND ACCESSORIES BLANKET PURCHASE AGREEMENT CALL ORDER,2025-12-08,2025-12-08 16:57:23
CONT_AWD_140D0426F0062_1406_140D0424A0008_1406,140D0426F0062,"SKYDIO, INC",Department of the Interior,55146.15,SKYDIO X2E AND NEXT GENERATION UNMANNED AIRCRAFT SYSTEM BLANKET PURCHASE AGREEMENT CALL,2025-12-15,2026-04-10 15:21:03
CONT_AWD_140D0426F0063_1406_140D0423A0045_1406,140D0426F0063,FREEFLY SYSTEMS INC,Department of the Interior,45560.0,FREEFLY ALTA X BLANKET PURCHASE AGREEMENT CALL,2025-12-10,2025-12-10 15:31:37
CONT_AWD_140D0426F0069_1406_140D0423A0048_1406,140D0426F0069,"CARON EAST, INC.",Department of the Interior,84942.0,CARON EAST WINGSTRA BLANKET PURCHASE AGREEMENT CALL ORDER,2025-12-09,2026-06-11 15:06:07
CONT_AWD_140D0426F0086_1406_140D0423A0045_1406,140D0426F0086,FREEFLY SYSTEMS INC,Department of the Interior,93050.0,FREEFLY ALTA X BPA,2025-12-16,2025-12-16 13:25:48
CONT_AWD_140D0426F0134_1406_140D0424A0008_1406,140D0426F0134,"SKYDIO, INC",Department of the Interior,72412.9,SKYDIO X2E AND NEXT GENERATION UNMANNED AIRCRAFT SYSTEM BLANKET PURCHASE AGREEMENT CALL,2026-01-21,2026-01-22 17:29:35
CONT_AWD_140D0426F0140_1406_140D0424A0008_1406,140D0426F0140,"SKYDIO, INC",Department of the Interior,110481.45,SKYDIO X2E AND NEXT GENERATION UAS BPA,2026-01-22,2026-01-22 15:31:58
CONT_AWD_140D0426F0168_1406_140D0423A0045_1406,140D0426F0168,FREEFLY SYSTEMS INC,Department of the Interior,101719.0,FREEFLY ALTA X BLANKET PURCHASE AGREEMENT CALL,2026-02-04,2026-02-04 10:21:26
CONT_AWD_140D0426F0169_1406_140D0424A0008_1406,140D0426F0169,"SKYDIO, INC",Department of the Interior,251447.7,SKYDIO X2E AND NEXT GENERATION UAS BLANKET PURCHASE AGREEMENT CALL,2026-02-04,2026-04-10 15:27:13
CONT_AWD_140D0426F0203_1406_140D0424A0008_1406,140D0426F0203,"SKYDIO, INC",Department of the Interior,43687.3,SKYDIO BLANKET PURCHASE AGREEMENT CALL ORDER,2026-02-18,2026-02-26 12:58:53
CONT_AWD_140D0426F0225_1406_140D0423A0045_1406,140D0426F0225,FREEFLY SYSTEMS INC,Department of the Interior,122094.0,FREEFLY BPA CALL,2026-02-19,2026-02-19 15:53:56
CONT_AWD_140D0426F0259_1406_140D0425A0008_1406,140D0426F0259,SKYFRONT CORP,Department of the Interior,18720.0,SKYFRONT CORP. BLANKET PURCHASE AGREEMENT CALL ORDER,2026-03-05,2026-03-05 12:30:29
CONT_AWD_140D0426F0280_1406_140D0423A0048_1406,140D0426F0280,"CARON EAST, INC.",Department of the Interior,63183.77,CARSON EAST WINGTRA BLANKET PURCHASE AGREEMENT CALL ORDER,2026-03-23,2026-06-11 15:06:07
