item_name,identifier,source_url,source_platform,date_added,legiscan_change_hash,state,bill_id
Buzz Off Act,HB96,https://www.congress.gov/bill/119th-congress/house-bill/96/all-info,LegiScan,2026-09-11,cf351791b8befbd5280ccfd0a1f8c2c4,US,1901898
National Training Center for Counter-Unmanned Aircraft Systems Act,HB709,https://www.congress.gov/bill/119th-congress/house-bill/709/all-info,LegiScan,2026-09-11,5710f12abb56704a2086630c4333c1d2,US,1939442
QUIET Act Quashing Unwanted and Interruptive Electronic Telecommunications Act,HB1027,https://www.congress.gov/bill/119th-congress/house-bill/1027/all-info,LegiScan,2026-09-11,e07e70713a6c9542340c9dfb5274aba9,US,1958579
"Calling on Federal law enforcement, led by the Federal Bureau of Investigation, the Department of Homeland Security, and the Federal Aviation Administration, to provide an immediate briefing to the public regarding the recent drone activity in New Jersey and New York.",HR118,https://www.congress.gov/bill/119th-congress/house-resolution/118/all-info,LegiScan,2026-09-11,ca62a1a5144a5c882d8557e386d3a6e2,US,1961152
DRONE Act of 2025 Directing Resources for Officers Navigating Emergencies Act of 2025,HB1058,https://www.congress.gov/bill/119th-congress/house-bill/1058/all-info,LegiScan,2026-09-11,af7fe5bf277424426efb12bb5f0d93da,US,1961279
To establish a Department of State Domestic Protection Mission relating to unmanned aircraft system and unmanned aircraft.,HB1386,https://www.congress.gov/bill/119th-congress/house-bill/1386/all-info,LegiScan,2026-09-11,49b5bbe162b94862fd0212fea01ae224,US,1971839
Defense Against Drones Act of 2025,HB1907,https://www.congress.gov/bill/119th-congress/house-bill/1907/all-info,LegiScan,2026-09-11,7c8d86c4f08858af076e3c4fc6e45752,US,1994384
NEDD Act Nuclear Ecosystem Drone Defense Act,HB2205,https://www.congress.gov/bill/119th-congress/house-bill/2205/all-info,LegiScan,2026-09-11,a60bfc42a5d353700ea535964c32f597,US,2010628
Block the Use of Transatlantic Technology in Iranian Made Drones Act,HB2505,https://www.congress.gov/bill/119th-congress/house-bill/2505/all-info,LegiScan,2026-09-11,0d7391221e7ba6a8b132863e724bf21a,US,2017827
Drone Integration and Zoning Act,SB1249,https://www.congress.gov/bill/119th-congress/senate-bill/1249/all-info,LegiScan,2026-09-11,90ea0517337f7938b5c1bbcf4ff62351,US,2019870
SHIELD U Act Stopping Harmful Incidents to Enforce Lawful Drone Use Act,SB1250,https://www.congress.gov/bill/119th-congress/senate-bill/1250/all-info,LegiScan,2026-09-11,4f8b9299b08a8e9cb567b4b895ea0855,US,2019909
Coastal Drone Surveillance and Interdiction Assessment Act,HB2775,https://www.congress.gov/bill/119th-congress/house-bill/2775/all-info,LegiScan,2026-09-11,e770526f4eb1994c30035187a4e78369,US,2022512
Drone Espionage Act,HB2939,https://www.congress.gov/bill/119th-congress/house-bill/2939/all-info,LegiScan,2026-09-11,dd660017278050f7b6fac2bf039c4910,US,2025083
USCP Empowerment Act of 2025,HB3334,https://www.congress.gov/bill/119th-congress/house-bill/3334/all-info,LegiScan,2026-09-11,5ffa50df32c919101afb66d836f7786d,US,2031156
NEDD Act of 2025 Nuclear Ecosystem Drone Defense Act of 2025,SB1762,https://www.congress.gov/bill/119th-congress/senate-bill/1762/all-info,LegiScan,2026-09-11,f088b2598d257400365b19edc1155cb2,US,2031792
WILD Act of 2025 Wilderness Inclusion for Limited-use Drones Act of 2025,HB3433,https://www.congress.gov/bill/119th-congress/house-bill/3433/all-info,LegiScan,2026-09-11,007b183e27e6e3b7a97ae2dd5b6bc7a8,US,2032129
COUNTER Act Comprehensive Operations for Unmanned-System Neutralization and Threat Elimination Response Act,HB3463,https://www.congress.gov/bill/119th-congress/house-bill/3463/all-info,LegiScan,2026-09-11,179b2c3c64066d771e57827e2f2849ad,US,2032182
COUNTER Act Comprehensive Operations for Unmanned-System Neutralization and Threat Elimination Response Act,SB1793,https://www.congress.gov/bill/119th-congress/senate-bill/1793/all-info,LegiScan,2026-09-11,1982d879412f9f502bca541869db6951,US,2032191
Drone Espionage Act,SB1809,https://www.congress.gov/bill/119th-congress/senate-bill/1809/all-info,LegiScan,2026-09-11,cd220be392cbaa83bce65c0d35f75316,US,2032949
Border Drone Threat Assessment Act,SB1908,https://www.congress.gov/bill/119th-congress/senate-bill/1908/all-info,LegiScan,2026-09-11,245e6f6106829ecf66b9b95b67e7beb0,US,2033578
Deescalation Drone Pilot Program Act of 2025,HB3598,https://www.congress.gov/bill/119th-congress/house-bill/3598/all-info,LegiScan,2026-09-11,c70e7532479328b7c55898a7474e4490,US,2033715
Drones for First Responders Act,HB3786,https://www.congress.gov/bill/119th-congress/house-bill/3786/all-info,LegiScan,2026-09-11,ad6a2a4d532958bb3591ff3247791374,US,2035893
SAT Act Safety from Aerial Technology Act,HB3796,https://www.congress.gov/bill/119th-congress/house-bill/3796/all-info,LegiScan,2026-09-11,ba91da4f82da9356edb602f6fef1709e,US,2036116
Drones for America Act,SB2168,https://www.congress.gov/bill/119th-congress/senate-bill/2168/all-info,LegiScan,2026-09-11,0eff2330ad23a80c74581d594f733079,US,2038247
Border Drone Threat Assessment Act Intelligence Community Efficiency and Effectiveness Act of 2025,SB2342,https://www.congress.gov/bill/119th-congress/senate-bill/2342/all-info,LegiScan,2026-09-11,cf6f50fef32eb4f96a1dc5e8373d49c8,US,2039821
LIFT Act of 2025 Local Innovation for Flight Technologies Act of 2025,HB4686,https://www.congress.gov/bill/119th-congress/house-bill/4686/all-info,LegiScan,2026-09-11,f2cea6320b29627cbe54a8c9e646337d,US,2040306
LEAD Act of 2025 Leading Exports of Aerial Drones Act of 2025,SB2387,https://www.congress.gov/bill/119th-congress/senate-bill/2387/all-info,LegiScan,2026-09-11,ac5c185a1d2b83562fe06374e010d815,US,2040375
LEAD Act of 2025 Leading Exports of Aerial Drones Act of 2025,HB4753,https://www.congress.gov/bill/119th-congress/house-bill/4753/all-info,LegiScan,2026-09-11,6b335e8e76497e11d33ce7fd76d840e7,US,2040391
Ban Military Drones Spying on Civilians Act,HB4759,https://www.congress.gov/bill/119th-congress/house-bill/4759/all-info,LegiScan,2026-09-11,e5500ad6fbd4d5b410b1e068b448a703,US,2040630
SkyFoundry Act of 2025,SB2506,https://www.congress.gov/bill/119th-congress/senate-bill/2506/all-info,LegiScan,2026-09-11,70fb8600bdb97f53a92164f65cf8d4ce,US,2040912
"Counter-UAS Authority Security, Safety, and Reauthorization Act",HB5061,https://www.congress.gov/bill/119th-congress/house-bill/5061/all-info,LegiScan,2026-09-11,62da9805129ccfdfb5cba3ae56ac71c5,US,2042959
SkyFoundry Act of 2025,HB5086,https://www.congress.gov/bill/119th-congress/house-bill/5086/all-info,LegiScan,2026-09-11,fccff0af3f77b4db28f43416a8ec6662,US,2043077
Counter-UAS Authority Extension Act,SB3032,https://www.congress.gov/bill/119th-congress/senate-bill/3032/all-info,LegiScan,2026-09-11,979113ace12783f424ab26ce4c714c21,US,2047229
Leveraging Aerial Systems for Stewardship Operations (LASSO) Act,HB5829,https://www.congress.gov/bill/119th-congress/house-bill/5829/all-info,LegiScan,2026-09-11,022f1dc7369536494aba4909691fc83c,US,2047452
"LANDED Act Law Against Nefarious Drones, Enforcement, Deconfliction Act",HB6042,https://www.congress.gov/bill/119th-congress/house-bill/6042/all-info,LegiScan,2026-09-11,8ff6c54df53c62f6b61eadb7468d8adb,US,2052335
"A bill to require the Secretary of Defense to develop and implement a strategy to field an integrated air defense system to bolster the capability of NATO to defeat unmanned aerial systems and deter Russian aggression, and for other purposes.",SB3262,https://www.congress.gov/bill/119th-congress/senate-bill/3262/all-info,LegiScan,2026-09-11,8670192d81ee12a534e2ec6ffd80f387,US,2053564
Recreational Drone Empowerment Act,HB6460,https://www.congress.gov/bill/119th-congress/house-bill/6460/all-info,LegiScan,2026-09-11,9fcd3b18bd76c8c6e28b11cf69503993,US,2057024
QUIET Act Quashing Unwanted and Interruptive Electronic Telecommunications Act,SB3354,https://www.congress.gov/bill/119th-congress/senate-bill/3354/all-info,LegiScan,2026-09-11,aba532246df2d50201b330b35c4fa6b7,US,2057034
Secure Our Skies Drone Safety Act of 2025,HB6605,https://www.congress.gov/bill/119th-congress/house-bill/6605/all-info,LegiScan,2026-09-11,a2461796e091944ef783ba89e75ca36f,US,2058212
Wildfire Aerial Response Safety Act,HB6618,https://www.congress.gov/bill/119th-congress/house-bill/6618/all-info,LegiScan,2026-09-11,4b190366faf9d8e68dd65b0bf72a75a6,US,2058597
Drone Safety Enhancement Act,HB6647,https://www.congress.gov/bill/119th-congress/house-bill/6647/all-info,LegiScan,2026-09-11,21b352bfe39219a71a7cd1facbdd5aa3,US,2058601
SAFER SKIES Act,SB3481,https://www.congress.gov/bill/119th-congress/senate-bill/3481/all-info,LegiScan,2026-09-11,cc0814c484382192ea300ac341a65545,US,2059081
